site,mse,rmse,r2
PCDLowerHuttABI,1.5363865288088719e-06,0.0012395106005229934,0.8673062120441026
PCDLowerHuttABJ,1.7179936891375946e-06,0.001310722582828874,0.8662777755568736
PCDLowerHuttABK,1.9044553039308406e-06,0.00138002003751063,0.8732998528877075
PCDLowerHuttABL,3.6383426737226267e-06,0.0019074440158816266,0.8029940121677926
PCDLowerHuttCUR,1.8273249001765752e-06,0.00135178581889905,0.9291568405051076
PCDStokesValleyABI,2.0733918962592233e-07,0.0004553451324280543,0.9880505346909085
PCDStokesValleyABJ,2.227638544436101e-07,0.00047197865888577007,0.9871615736897111
PCDStokesValleyABK,2.68899559380784e-07,0.0005185552616460313,0.9859847194357237
PCDStokesValleyABL,2.5081440257298315e-07,0.0005008137403995453,0.9869273316450081
PCDStokesValleyCUR,2.791638677926647e-07,0.0005283596008332438,0.9946113922336629
PCDUpperHuttABI,7.405977491076825e-08,0.0002721392564676553,0.9920168961500271
PCDUpperHuttABJ,7.497547781342426e-08,0.0002738165039098707,0.9919926785622156
PCDUpperHuttABK,8.213237196385144e-08,0.0002865874595369648,0.9915080985267409
PCDUpperHuttABL,7.671627419415537e-08,0.00027697702827880034,0.992068690889421
PCDUpperHuttCUR,1.0855792134480182e-07,0.0003294812913426221,0.9930564048490742
